Zip Code,City / Community,2022,2021,2020,2019,2018,2017
90813,Long Beach,"$650,626 ","$638,259 ","$473,610 ","$445,374 ","$532,029 ","$419,893 "
90814,Long Beach,"$1,153,128 ","$1,111,072 ","$887,212 ","$876,024 ","$977,641 ","$831,003 "
90815,Long Beach,"$967,038 ","$950,833 ","$731,781 ","$723,331 ","$807,331 ","$699,166 "
91001,Altadena,"$1,231,663 ","$1,205,289 ","$894,732 ","$880,781 ","$992,353 ","$838,237 "
91006,Arcadia,"$1,354,488 ","$1,311,262 ","$1,058,663 ","$1,103,409 ","$1,149,050 ","$1,075,523 "
91007,Arcadia,"$1,480,556 ","$1,443,590 ","$1,181,958 ","$1,249,963 ","$1,268,604 ","$1,209,234 "
91008,Bradbury,"$1,722,608 ","$1,587,303 ","$1,399,154 ","$1,400,616 ","$1,425,612 ","$1,399,706 "
91010,"Azusa, Bradbury, Duarte,Irwindale, Monrovia","$723,574 ","$698,019 ","$555,924 ","$547,940 ","$619,510 ","$516,510 "
91011,La Ca–ada Flintridge,"$1,956,655 ","$1,810,224 ","$1,455,011 ","$1,487,336 ","$1,587,462 ","$1,438,796 "
91016,Monrovia,"$955,435 ","$912,726 ","$734,889 ","$740,654 ","$800,701 ","$702,954 "
91020,La Crescenta-Montrose,"$1,018,845 ","$979,293 ","$792,248 ","$785,385 ","$871,407 ","$743,941 "
91024,Sierra Madre,"$1,408,336 ","$1,358,013 ","$1,067,444 ","$1,070,918 ","$1,162,115 ","$1,035,353 "
91030,South Pasadena,"$1,528,343 ","$1,564,193 ","$1,267,413 ","$1,249,375 ","$1,338,355 ","$1,063,538 "
91040,"Shadow Hills, Sunland","$905,884 ","$877,030 ","$658,538 ","$646,143 ","$743,934 ","$612,324 "
91042,Tujunga,"$917,014 ","$879,249 ","$671,455 ","$649,972 ","$754,008 ","$621,196 "
91101,Pasadena,"$911,909 ","$858,132 ","$714,351 ","$717,668 ","$756,669 ","$691,993 "
91103,Pasadena,"$1,148,051 ","$1,075,881 ","$840,884 ","$822,959 ","$931,604 ","$779,865 "
91104,Pasadena,"$1,182,486 ","$1,144,637 ","$867,481 ","$864,300 ","$960,395 ","$813,178 "
91105,Pasadena,"$1,749,640 ","$1,766,087 ","$1,419,108 ","$1,421,616 ","$1,533,305 ","$1,373,216 "
91106,Pasadena,"$1,315,624 ","$1,290,923 ","$1,033,875 ","$1,037,279 ","$1,106,517 ","$1,005,102 "
91107,Pasadena,"$1,317,410 ","$1,279,835 ","$978,972 ","$983,225 ","$1,060,196 ","$928,531 "
91108,San Marino,"$2,411,627 ","$2,511,416 ","$2,203,756 ","$1,947,631 ","$2,330,625 ","$1,709,634 "
91201,Glendale,"$1,271,055 ","$1,201,040 ","$929,758 ","$921,694 ","$1,034,458 ","$860,851 "
91202,Glendale,"$1,403,578 ","$1,302,615 ","$1,014,889 ","$1,008,284 ","$1,121,009 ","$929,596 "
91203,Glendale,"$910,376 ","$890,554 ","$687,034 ","$696,152 ","$772,080 ","$632,815 "
91204,Glendale Tropico,"$980,829 ","$959,448 ","$745,568 ","$759,305 ","$827,638 ","$695,110 "
91205,Glendale Tropico,"$1,077,849 ","$1,017,860 ","$786,511 ","$799,141 ","$871,465 ","$737,099 "
91206,Glendale,"$1,476,121 ","$1,405,158 ","$1,075,929 ","$1,070,694 ","$1,192,913 ","$995,940 "
91207,Glendale,"$1,646,167 ","$1,548,849 ","$1,170,029 ","$1,178,741 ","$1,294,630 ","$1,116,600 "
91208,Glendale,"$1,468,843 ","$1,430,286 ","$1,074,993 ","$1,072,383 ","$1,199,435 ","$1,005,053 "
91210,Glendale,N/A,"$841,660 ","$769,712 ","$738,786 ","$695,609 ","$682,854 "
91214,"Glendale, La Crescenta-Montrose","$1,203,043 ","$1,170,504 ","$891,419 ","$890,342 ","$984,313 ","$846,089 "
91301,"Agoura Hills, Cornell","$1,329,658 ","$1,238,322 ","$957,748 ","$961,194 ","$1,046,715 ","$953,781 "
91302,"Calabasas, Hidden Hills, Monte Nido","$2,171,664 ","$2,016,975 ","$1,555,081 ","$1,571,954 ","$1,678,042 ","$1,533,673 "
91303,Canoga Park,"$809,854 ","$791,752 ","$587,817 ","$577,460 ","$654,526 ","$538,975 "
91304,"Canoga Park, West Hills, Box Canyon","$937,413 ","$923,193 ","$693,045 ","$681,352 ","$758,616 ","$654,047 "
91306,Winnetka,"$833,318 ","$808,386 ","$609,123 ","$600,022 ","$678,129 ","$567,192 "
91307,"West Hills, Bell Canyon","$991,016 ","$960,195 ","$728,732 ","$723,047 ","$803,715 ","$701,413 "
91311,Chatsworth,"$960,530 ","$926,403 ","$697,201 ","$687,552 ","$770,544 ","$663,393 "
91316,Encino,"$1,286,552 ","$1,226,385 ","$923,268 ","$926,809 ","$1,030,045 ","$893,489 "
91321,Santa Clarita Newhall,"$811,178 ","$792,395 ","$605,359 ","$601,430 ","$661,616 ","$570,114 "
91324,Northridge,"$918,576 ","$892,756 ","$665,039 ","$655,798 ","$743,196 ","$627,291 "
91325,Northridge,"$1,085,011 ","$1,043,108 ","$764,448 ","$742,554 ","$850,980 ","$706,686 "
91326,"Northridge, Porter Ranch","$1,198,345 ","$1,129,797 ","$838,203 ","$826,565 ","$923,134 ","$792,932 "
91331,"Arleta, Hansen Hills, Pacoima","$706,734 ","$686,607 ","$514,725 ","$502,328 ","$582,706 ","$462,897 "
91335,Reseda,"$799,946 ","$793,668 ","$588,854 ","$579,513 ","$658,308 ","$543,394 "
91340,"San Fernando, Mission Hills, Pacoima","$692,667 ","$680,050 ","$504,491 ","$491,840 ","$573,906 ","$458,186 "
91342,"Lake View Terrace, Sylmar, Kagel Canyon","$759,194 ","$739,139 ","$557,786 ","$543,774 ","$624,242 ","$511,405 "
91343,North Hills,"$874,801 ","$862,481 ","$624,511 ","$611,507 ","$714,888 ","$578,879 "
91344,Granada Hills,"$928,284 ","$918,165 ","$676,096 ","$663,203 ","$762,967 ","$628,711 "
91345,Mission Hills,"$770,507 ","$760,117 ","$568,069 ","$557,512 ","$634,349 ","$524,945 "
91350,"Bouquet Canyon, Green Valley, Mint Canyon,Santa Clarita Canyon County","$798,624 ","$774,557 ","$587,229 ","$581,199 ","$645,212 ","$560,967 "
91351,Santa Clarita Canyon Country,"$709,071 ","$684,212 ","$523,467 ","$509,948 ","$577,843 ","$486,564 "
91352,"La Tuna Canyon, Sun Valley","$790,944 ","$779,577 ","$584,275 ","$567,346 ","$673,788 ","$528,834 "
91354,Santa Clarita Valencia,"$835,413 ","$808,268 ","$624,983 ","$623,454 ","$678,183 ","$601,221 "
91355,Santa Clarita Valencia,"$819,751 ","$801,277 ","$615,733 ","$614,681 ","$667,300 ","$592,235 "
91356,Tarzana,"$1,820,635 ","$1,702,147 ","$1,239,910 ","$1,249,536 ","$1,368,202 ","$1,208,566 "
91364,Woodland Hills,"$1,400,220 ","$1,290,280 ","$962,881 ","$941,644 ","$1,069,577 ","$895,507 "
91367,Woodland Hills,"$1,244,295 ","$1,194,026 ","$880,019 ","$858,763 ","$974,768 ","$816,557 "
91381,Stevenson Ranch,"$1,174,617 ","$1,094,018 ","$842,101 ","$832,302 ","$904,545 ","$819,334 "
91384,"Castaic, Val Verde","$795,980 ","$764,006 ","$585,486 ","$580,870 ","$638,389 ","$558,216 "
91387,"Santa Clarita Canyon Country, Fair Oaks Ranch, Mint Canyon","$826,862 ","$802,965 ","$610,951 ","$604,728 ","$676,741 ","$581,000 "
91390,"Agua Dulce, Green Valley, Santa Clarita Saugus","$915,027 ","$885,919 ","$667,503 ","$663,575 ","$733,969 ","$642,369 "
91401,"Valley Glen, Van Nuys","$1,189,980 ","$1,137,987 ","$867,233 ","$845,336 ","$974,302 ","$805,301 "
91402,Panorama City,"$725,548 ","$694,839 ","$530,532 ","$513,874 ","$593,319 ","$481,650 "
91403,"Sherman Oaks, Van Nuys","$2,031,571 ","$1,847,977 ","$1,435,551 ","$1,425,002 ","$1,575,340 ","$1,327,090 "
91405,Valley Glen,"$856,886 ","$836,570 ","$626,283 ","$611,365 ","$715,151 ","$564,236 "
91406,"Lake Balboa, Van Nuys","$849,795 ","$854,315 ","$630,541 ","$623,869 ","$705,450 ","$581,459 "
